id,fname,lname,email,password,mobile,address,date,is_active,city,state
1,jignesh,patel,jignesh@gmail.com,12345678,9898536464,Bopal,2021-08-01,1,Ahmedabad,Gujarat
2,shrey,patel,shrey@gmail.com,46456988,9898787845,sedhal,2021-08-02,1,patan,Gujarat
3,vivek,panchal,vivek@gmail.com,12345678,9898989898,ranip,2021-08-03,1,Ahmedabad,Gujarat
4,hardik,patel,hardik@gmail.com,47894532,9898787846,sedhal,2021-08-04,1,jaipur,Rajasthan
5,ravi,patel,ravi@gmail.com,46456989,9898787855,vastral,2021-08-05,1,Ahmedabad,Gujarat
6,paresh,patel,paresh@gmail.com,46456978,9898787847,suryam,2021-08-06,1,Ahmedabad,Gujarat
7,alpesh,patel,alpesh@gmail.com,46456977,9898787866,suryam,2021-08-07,1,Ahmedabad,Gujarat
8,mahesh,patel,mahesh@gmail.com,46456999,9898787888,baroda,2021-08-08,1,baroda,Gujarat
9,shiv,patel,shiv@gmail.com,46456458,9898787777,vapi,2021-08-09,1,vapi,Gujarat
11,dilip,dilip,dilip@gmail.com,1234,9898989811,somanth,2021-08-10,1,somnath,Gujarat
12,nilesh,dafda,nilesh@gmail.com,47894,9894587846,junagadh,2021-08-11,1,Junagadh,Gujarat
10,mohit,patel,mohit@gmail.com,46458988,9898557845,sedhal,2021-08-12,1,patan,Gujarat
